Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2019-03-15,2.08,2.1,2.13,2.07,0.1,0
2019-03-15,2.08,2.1,2.13,2.07,0.1,0.96
2019-03-14,2.11,2.08,2.12,2.06,0.07,-0.48
2019-03-13,2.11,2.09,2.15,2.06,0.21,-1.42
2019-03-12,2.12,2.12,2.17,2.08,0.22,-1.4
2019-03-11,2.18,2.15,2.2,2.1,0.07,-1.38
2019-03-08,2.2,2.18,2.2,2.16,0.05,-0.91
2019-03-07,2.23,2.2,2.24,2.13,0.18,0.46
2019-03-06,2.22,2.19,2.23,2.16,0.07,1.39
2019-03-05,2.23,2.16,2.28,2.16,0.2,-2.26
2019-03-04,2.29,2.21,2.29,2.16,0.07,0.45
2019-03-01,2.21,2.2,2.22,2.18,0.06,-0.45
2019-02-28,2.11,2.21,2.29,2.11,0.28,3.76
2019-02-27,2.17,2.13,2.18,2.11,0.12,-0.93
2019-02-26,2.13,2.15,2.15,2.08,0.28,0.47
2019-02-25,2.18,2.14,2.18,2.1,0.27,-2.28
2019-02-22,2.15,2.19,2.22,2.12,0.17,1.86
2019-02-21,1.92,2.15,2.23,1.91,0.86,10.26
2019-02-20,2.02,1.95,2.02,1.92,0.33,-2.99
2019-02-19,2.09,2.01,2.11,1.98,0.34,-2.9
2019-02-18,2.04,2.07,2.16,2.04,0.3,-0.48
2019-02-15,2.05,2.08,2.08,2.02,0.14,1.46
2019-02-14,2.17,2.05,2.23,2.02,0.61,-5.53
2019-02-13,2.25,2.17,2.26,2.17,0.3,-3.56
2019-02-12,2.24,2.25,2.28,2.22,0.13,0.45
2019-02-11,2.3,2.24,2.31,2.23,0.29,-0.44
2019-02-08,2.24,2.25,2.33,2.22,0.46,-1.32
2019-02-07,2.37,2.28,2.38,2.21,0.72,-1.72
2019-02-06,2.45,2.32,2.5,2.32,1,-5.31
2019-02-05,2.15,2.45,2.56,2.14,3.36,13.95
2019-02-04,2.24,2.15,2.24,2.14,0.2,-2.27
2019-02-01,2.2,2.2,2.21,2.14,0.14,0
2019-01-31,2.2,2.2,2.24,2.14,0.14,1.38
2019-01-30,2.12,2.17,2.26,2.08,0.4,2.84
2019-01-29,2.17,2.11,2.22,2.11,0.31,-4.09
2019-01-28,2.28,2.2,2.3,2.17,0.57,-2.65
2019-01-25,2.16,2.26,2.34,2.09,1.48,7.11
2019-01-24,2.11,2.11,2.15,2.07,0.27,0
2019-01-23,2.16,2.11,2.23,2.01,0.61,-2.31
2019-01-22,2.15,2.16,2.26,2.1,0.96,2.86
2019-01-21,2.15,2.1,2.29,2.1,1.89,-0.94
2019-01-18,1.98,2.12,2.36,1.96,3.01,7.07
2019-01-17,2.24,1.98,2.27,1.96,2.24,-10
2019-01-16,1.75,2.2,2.2,1.74,2.09,26.44
2019-01-15,1.73,1.74,1.79,1.73,0.17,-0.57
2019-01-14,1.78,1.75,1.82,1.68,0.3,-2.23
2019-01-11,1.75,1.79,1.91,1.75,0.87,2.29
2019-01-10,1.79,1.75,1.84,1.66,0.84,-2.23
2019-01-09,1.85,1.79,1.88,1.76,0.46,-0.56
2019-01-08,1.93,1.8,1.95,1.78,0.74,-6.74
2019-01-07,1.96,1.93,2.06,1.92,0.75,-1.53
2019-01-04,1.77,1.96,2.08,1.63,3.73,13.95
2019-01-03,1.38,1.72,1.72,1.38,1.21,27.41
2019-01-02,1.33,1.35,1.35,1.25,0.08,4.65
