Data;Godzina:;Otwarcie:;Wartoœæ najwy¿sza:;Wartoœæ najni¿sza:;Zamkniêcie:
08.lut;16:00;52,695;52,695;52,675;52,675
10.lut;20:00;52,375;52,375;52,125;52,155
11.lut;08:00;52,375;52,375;52,305;52,325
11.lut;12:00;51,635;51,695;51,615;51,685
11.lut;16:00;52,355;52,365;52,345;52,355
11.lut;20:00;52,485;52,555;52,475;52,485
12.lut;08:00;53,405;53,485;53,395;53,475
12.lut;12:00;53,765;53,785;53,705;53,725
12.lut;16:00;53,055;53,065;53,055;53,055
12.lut;20:00;53,415;53,545;53,415;53,545
13.lut;08:00;53,445;53,455;53,375;53,375
13.lut;12:00;54,315;54,415;54,315;54,335
13.lut;16:00;53,935;53,955;53,935;53,955
13.lut;20:00;54,005;54,015;53,965;53,995
14.lut;08:00;54,305;54,305;54,245;54,285
14.lut;12:00;54,145;54,195;54,145;54,185
14.lut;16:00;54,525;54,525;54,495;54,495
14.lut;20:00;54,715;54,775;54,695;54,755
15.lut;08:00;54,915;55,055;54,915;55,055
15.lut;12:00;55,645;55,685;55,645;55,665
15.lut;16:00;55,705;55,715;55,685;55,705
17.lut;20:00;55,845;55,915;55,795;55,845
18.lut;08:00;55,945;56,095;55,945;56,065
18.lut;12:00;55,87;55,92;55,865;55,9
18.lut;20:00;55,815;55,865;55,8;55,8
19.lut;08:00;56,07;56,098;56,065;56,07
19.lut;12:00;55,93;55,945;55,92;55,94
19.lut;20:00;56,3;56,31;56,26;56,27
20.lut;08:00;56,045;56,135;56,045;56,115
20.lut;12:00;57,505;57,505;57,465;57,485
20.lut;16:00;57,135;57,135;57,125;57,135
20.lut;20:00;57,235;57,285;57,175;57,175
21.lut;08:00;57,185;57,195;57,145;57,185
21.lut;12:00;56,805;56,815;56,785;56,815
21.lut;16:00;56,865;56,865;56,855;56,855
21.lut;20:00;56,905;56,905;56,885;56,895
22.lut;08:00;57,715;57,765;57,715;57,735
22.lut;12:00;57,335;57,335;57,295;57,315
22.lut;16:00;57,155;57,155;57,145;57,145
24.lut;20:00;57,42;57,5;57,42;57,48
25.lut;08:00;56,285;56,285;56,175;56,21
25.lut;12:00;55,075;55,245;55,075;55,215
25.lut;16:00;55,366;55,39;55,36;55,39
25.lut;20:00;55,39;55,48;55,39;55,47
26.lut;08:00;55,69;55,696;55,63;55,63
26.lut;12:00;55,84;55,85;55,83;55,83
26.lut;16:00;55,64;55,644;55,63;55,63
27.lut;08:00;56,755;56,8;56,745;56,77
