data;godzina;otwarcie;zamkniecie;max;min
20190212;80000;1.007870;1.007910;1.007840;1.007910
20190212;120000;1.006690;1.006860;1.006690;1.006860
20190212;160000;1.005890;1.005970;1.005880;1.005920
20190212;200000;1.006370;1.006370;1.005990;1.006040
20190213;80000;1.005670;1.005700;1.005580;1.005650
20190213;120000;1.007290;1.007320;1.007130;1.007150
20190213;160000;1.009070;1.009110;1.009000;1.009000
20190213;200000;1.008790;1.008790;1.008790;1.008790
20190214;80000;1.008760;1.008860;1.008760;1.008850
20190214;120000;1.006440;1.006450;1.006370;1.006440
20190214;160000;1.005260;1.005260;1.005150;1.005180
20190214;200000;1.005360;1.005460;1.005350;1.005450
20190215;80000;1.006790;1.006840;1.006760;1.006770
20190215;120000;1.006330;1.006330;1.006270;1.006270
20190215;160000;1.004790;1.004880;1.004770;1.004820
20190217;200000;1.003700;1.003720;1.003670;1.003680
20190218;80000;1.002630;1.002710;1.002620;1.002690
20190218;120000;1.004350;1.004370;1.004260;1.004270
20190218;160000;1.004040;1.004110;1.003690;1.003790
20190218;200000;1.004680;1.004770;1.004670;1.004690
20190219;80000;1.005600;1.005640;1.005550;1.005590
20190219;120000;1.001740;1.001870;1.001670;1.001800
20190219;160000;1.000950;1.000970;1.000930;1.000930
20190219;200000;1.000720;1.000740;1.000690;1.000730
20190220;80000;1.000490;1.000490;1.000380;1.000390
20190220;120000;0.998910;0.999050;0.998900;0.999030
20190220;160000;1.000750;1.000780;1.000740;1.000780
20190220;200000;1.000320;1.000370;1.000210;1.000330
20190221;80000;1.001010;1.001020;1.000920;1.000940
20190221;120000;1.000900;1.001010;1.000890;1.000930
20190221;160000;1.001100;1.001130;1.001090;1.001100
20190221;200000;1.001010;1.001060;1.000990;1.001010
20190222;80000;1.001610;1.002240;1.001510;1.002220
20190222;120000;0.999790;0.999790;0.999060;0.999140
20190222;160000;1.000380;1.000400;1.000330;1.000330
20190224;200000;0.999410;0.999570;0.999410;0.999520
20190225;80000;0.999440;0.999540;0.999250;0.999540
20190225;120000;1.000600;1.000680;1.000580;1.000640
20190225;160000;1.000260;1.000260;1.000240;1.000240
20190225;200000;1.000130;1.000130;1.000110;1.000110
20190226;80000;1.000830;1.000860;1.000770;1.000770
20190226;120000;1.000180;1.000190;1.000080;1.000080
20190226;160000;0.999810;0.999840;0.999800;0.999810
20190226;200000;0.999630;0.999830;0.999610;0.999750
20190227;80000;0.997330;0.997330;0.997210;0.997310
20190227;120000;1.000310;1.000320;1.000210;1.000270
20190227;160000;1.001180;1.001210;1.001180;1.001200
20190227;200000;1.000540;1.000580;1.000540;1.000550
20190228;80000;0.993030;0.993040;0.992790;0.992870
20190228;120000;0.997420;0.997590;0.997390;0.997500
20190228;160000;0.998210;0.998220;0.998050;0.998050
20190228;200000;0.997860;0.997940;0.997850;0.997870
20190301;80000;0.998570;0.998700;0.998510;0.998660
20190301;120000;0.998770;0.998770;0.998610;0.998610
