Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-05-14,4.26331,4.27451,4.25693,4.27245
2018-05-15,4.27287,4.30213,4.27098,4.29473
2018-05-16,4.29485,4.30012,4.27062,4.27204
2018-05-17,4.27204,4.30002,4.27043,4.29631
2018-05-18,4.29625,4.30332,4.28474,4.30175
2018-05-21,4.30137,4.3148,4.2888,4.28958
2018-05-22,4.28968,4.29393,4.271,4.28375
2018-05-23,4.28354,4.31645,4.28197,4.30314
2018-05-24,4.3033,4.31763,4.28979,4.30896
2018-05-25,4.30948,4.31871,4.29607,4.31535
2018-05-28,4.31031,4.31307,4.29439,4.29939
2018-05-29,4.29939,4.3387,4.29781,4.33326
2018-05-30,4.33371,4.34023,4.3029,4.30488
2018-05-31,4.30489,4.32305,4.30206,4.31629
2018-06-01,4.31628,4.3222,4.29952,4.30372
2018-06-04,4.30476,4.30843,4.269,4.27185
2018-06-05,4.27179,4.29111,4.26688,4.27949
2018-06-06,4.2791,4.28492,4.26229,4.26717
2018-06-07,4.26718,4.28156,4.25721,4.27494
2018-06-08,4.27607,4.29526,4.27226,4.27807
2018-06-11,4.27746,4.28098,4.26315,4.26641
2018-06-12,4.26631,4.28316,4.26266,4.27958
2018-06-13,4.27973,4.2846,4.2715,4.27832
2018-06-14,4.27826,4.28761,4.26482,4.28462
2018-06-15,4.28445,4.29088,4.27497,4.2864
2018-06-18,4.28182,4.30724,4.27904,4.3041
2018-06-19,4.30422,4.3196,4.29934,4.31094
2018-06-20,4.3112,4.32074,4.30298,4.31586
2018-06-21,4.31583,4.33284,4.31481,4.32782
2018-06-22,4.32779,4.32993,4.30976,4.32378
2018-06-25,4.32181,4.34951,4.31795,4.34335
2018-06-26,4.3436,4.34851,4.33024,4.33718
2018-06-27,4.33729,4.35596,4.32762,4.35183
2018-06-28,4.35178,4.37044,4.34868,4.36409
2018-06-29,4.36389,4.37739,4.35076,4.37375
2018-07-02,4.36836,4.41437,4.36378,4.39886
2018-07-03,4.39892,4.41225,4.3874,4.39387
2018-07-04,4.39386,4.40226,4.37584,4.38141
2018-07-05,4.38136,4.38488,4.34912,4.35161
2018-07-06,4.35169,4.37018,4.34759,4.35382
2018-07-09,4.35749,4.35772,4.30966,4.31475
2018-07-10,4.31469,4.33808,4.3077,4.31524
2018-07-11,4.31528,4.34922,4.3089,4.34191
2018-07-12,4.34253,4.34366,4.31372,4.31954
2018-07-13,4.31961,4.33191,4.31282,4.31297
2018-07-16,4.31699,4.31715,4.29919,4.30146
2018-07-17,4.30142,4.3099,4.29092,4.29697
2018-07-18,4.29698,4.31376,4.29569,4.31037
2018-07-19,4.31037,4.34221,4.30732,4.33936
2018-07-20,4.33905,4.35165,4.31355,4.31894
2018-07-23,4.32749,4.33145,4.31604,4.32618
2018-07-24,4.32613,4.33585,4.29611,4.30047
2018-07-25,4.30043,4.31109,4.29364,4.30153
2018-07-26,4.30143,4.3024,4.28166,4.28772
2018-07-27,4.28767,4.29726,4.26997,4.28474
2018-07-30,4.28358,4.28844,4.26847,4.27134
2018-07-31,4.27087,4.28274,4.26811,4.27644
2018-08-01,4.27646,4.28323,4.26002,4.26337
2018-08-02,4.2635,4.28495,4.26071,4.27423
2018-08-03,4.27434,4.2818,4.25195,4.26189
2018-08-06,4.25661,4.27682,4.25348,4.25833
2018-08-07,4.25854,4.26064,4.24622,4.25729
2018-08-08,4.25729,4.26622,4.25409,4.26507
2018-08-09,4.26499,4.28082,4.26347,4.27732
2018-08-10,4.27731,4.30611,4.27066,4.29444
2018-08-13,4.30289,4.32272,4.28566,4.30107
2018-08-14,4.30097,4.30924,4.28882,4.30514
2018-08-15,4.30508,4.34379,4.29607,4.32138
2018-08-16,4.32137,4.32266,4.30087,4.30505
2018-08-17,4.30493,4.31934,4.29276,4.29656
2018-08-20,4.29908,4.31722,4.29366,4.30912
2018-08-21,4.30912,4.31137,4.28394,4.28771
2018-08-22,4.28847,4.29723,4.26877,4.26947
2018-08-23,4.26954,4.29147,4.26921,4.28995
2018-08-24,4.28998,4.29202,4.26957,4.27565
2018-08-27,4.2768,4.27916,4.26613,4.27235
2018-08-28,4.27233,4.27683,4.26563,4.27086
2018-08-29,4.27096,4.29121,4.26909,4.2881
2018-08-30,4.28813,4.30504,4.28454,4.29874
2018-08-31,4.29868,4.30503,4.28115,4.30319
2018-09-03,4.30094,4.30523,4.28621,4.29192
2018-09-04,4.29196,4.31403,4.2907,4.31008
2018-09-05,4.31035,4.33501,4.30748,4.32877
2018-09-06,4.3289,4.33989,4.31202,4.32431
2018-09-07,4.32434,4.3257,4.30081,4.31399
2018-09-10,4.31407,4.32316,4.30869,4.31234
2018-09-11,4.31229,4.31292,4.30159,4.30409
2018-09-12,4.3042,4.31511,4.30283,4.3075
2018-09-13,4.3066,4.3191,4.29868,4.30554
2018-09-14,4.30561,4.31386,4.29766,4.30479
2018-09-17,4.30623,4.31081,4.29488,4.30026
2018-09-18,4.30027,4.30478,4.28757,4.28852
2018-09-19,4.28848,4.29716,4.28549,4.28574
2018-09-20,4.28595,4.30086,4.28512,4.29044
2018-09-21,4.29041,4.30822,4.28781,4.30703
2018-09-24,4.30972,4.31113,4.29321,4.29594
2018-09-25,4.29594,4.30427,4.2856,4.28929
2018-09-26,4.28919,4.28941,4.26841,4.27395
2018-09-27,4.27377,4.28239,4.26625,4.27035
2018-09-28,4.2702,4.28723,4.26598,4.28036
2018-10-01,4.27861,4.28632,4.27102,4.28495
2018-10-02,4.28485,4.29928,4.28436,4.2967
2018-10-03,4.2967,4.30393,4.28514,4.29682
2018-10-04,4.29664,4.31685,4.29579,4.31033
2018-10-05,4.31011,4.31385,4.29839,4.30707
2018-10-08,4.30614,4.32038,4.30309,4.31406
2018-10-09,4.31423,4.32146,4.30073,4.3027
2018-10-10,4.30242,4.32294,4.3011,4.32173
2018-10-11,4.32161,4.32441,4.30403,4.3126
2018-10-12,4.31307,4.31307,4.29292,4.29787
2018-10-15,4.29813,4.29963,4.28304,4.29239
2018-10-16,4.29239,4.29571,4.28316,4.28539
2018-10-17,4.28535,4.29607,4.28447,4.29096
2018-10-18,4.29101,4.31043,4.28895,4.30538
2018-10-19,4.30534,4.30859,4.29312,4.29493
2018-10-22,4.29875,4.30125,4.28767,4.29209
2018-10-23,4.29197,4.30094,4.29094,4.29595
2018-10-24,4.29597,4.31624,4.28432,4.3132
2018-10-25,4.31316,4.31696,4.3055,4.31083
2018-10-26,4.31092,4.31953,4.30645,4.31022
2018-10-29,4.31132,4.33282,4.30524,4.32818
2018-10-30,4.32824,4.33379,4.32176,4.33093
2018-10-31,4.33093,4.34699,4.32725,4.34251
2018-11-01,4.34269,4.34293,4.3217,4.32437
2018-11-02,4.324,4.32638,4.30386,4.30828
2018-11-05,4.30785,4.31504,4.30376,4.3055
2018-11-06,4.30546,4.31333,4.30231,4.30477
2018-11-07,4.30475,4.30672,4.28578,4.28805
2018-11-08,4.28816,4.29683,4.27599,4.28068
2018-11-09,4.28029,4.29437,4.27781,4.28799
2018-11-12,4.28922,4.30556,4.2854,4.30548
2018-11-13,4.30541,4.30619,4.28834,4.29322
2018-11-14,4.29328,4.2997,4.28787,4.29623
2018-11-15,4.29618,4.29884,4.28501,4.29022
2018-11-16,4.29048,4.31811,4.28458,4.31384
2018-11-19,4.31579,4.33507,4.31141,4.33128
2018-11-20,4.33153,4.33815,4.3031,4.31004
2018-11-21,4.31037,4.31216,4.29675,4.30137
2018-11-22,4.30155,4.30737,4.29257,4.29345
2018-11-23,4.2936,4.30012,4.28882,4.29142
2018-11-26,4.29134,4.29956,4.28758,4.29609
2018-11-27,4.29604,4.30032,4.28784,4.29317
2018-11-28,4.29295,4.3005,4.28228,4.28629
2018-11-29,4.28643,4.29716,4.28476,4.2872
2018-11-30,4.2872,4.29398,4.28437,4.29225
2018-12-03,4.28908,4.28925,4.27504,4.27735
2018-12-04,4.27725,4.28587,4.27488,4.28189
2018-12-05,4.28198,4.29041,4.27986,4.28246
2018-12-06,4.28281,4.29387,4.27758,4.28094
2018-12-07,4.28109,4.29418,4.27938,4.29253
2018-12-10,4.29125,4.29621,4.28563,4.2942
2018-12-11,4.29469,4.30289,4.29279,4.30098
2018-12-12,4.30098,4.30368,4.28844,4.29067
2018-12-13,4.29098,4.30013,4.28754,4.29542
2018-12-14,4.29622,4.30631,4.28967,4.29195
2018-12-17,4.29211,4.29262,4.27919,4.28291
2018-12-18,4.28285,4.28832,4.28105,4.285
2018-12-19,4.28493,4.28977,4.27989,4.28747
2018-12-20,4.28732,4.28998,4.28013,4.28494
2018-12-21,4.28491,4.29513,4.27927,4.28829
2018-12-24,4.29021,4.29273,4.27885,4.28135
2018-12-26,4.2882,4.29377,4.28145,4.28209
2018-12-27,4.28215,4.29888,4.27686,4.29585
2018-12-28,4.29552,4.3074,4.29038,4.30147
2018-12-31,4.30058,4.30784,4.28739,4.28995
2019-01-02,4.2878,4.30478,4.28678,4.29988
2019-01-03,4.29999,4.3129,4.28821,4.29283
2019-01-04,4.2923,4.30235,4.28418,4.28757
2019-01-07,4.29014,4.3001,4.28915,4.29603
2019-01-08,4.29621,4.30678,4.29568,4.29709
2019-01-09,4.29708,4.30254,4.29115,4.30094
2019-01-10,4.30096,4.30689,4.29147,4.29612
