2019.03.04;20:00;1.663280
2019.03.05;08:00;1.666790
2019.03.05;12:00;1.664790
2019.03.05;16:00;1.662440
2019.03.05;20:00;1.665350
2019.03.06;08:00;1.667400
2019.03.06;12:00;1.670930
2019.03.06;16:00;1.671380
2019.03.06;20:00;1.668780
2019.03.07;08:00;1.663330
2019.03.07;12:00;1.656140
2019.03.07;16:00;1.656960
2019.03.07;20:00;1.656160
2019.03.08;08:00;1.652680
2019.03.08;12:00;1.651610
2019.03.08;16:00;1.650350
2019.03.10;20:00;1.652490
2019.03.11;08:00;1.648930
2019.03.11;12:00;1.645240
2019.03.11;16:00;1.645680
2019.03.11;20:00;1.648140
2019.03.12;08:00;1.643540
2019.03.12;12:00;1.644140
2019.03.12;16:00;1.644850
2019.03.12;20:00;1.646700
2019.03.13;08:00;1.652810
2019.03.13;12:00;1.650800
2019.03.13;16:00;1.651740
2019.03.13;20:00;1.653430
2019.03.14;08:00;1.658160
2019.03.14;12:00;1.657410
2019.03.14;20:00;1.652770
2019.03.15;08:00;1.652680
2019.03.15;12:00;1.653290
2019.03.17;16:00;1.652490
2019.03.17;20:00;1.653760
2019.03.18;08:00;1.653130
2019.03.18;12:00;1.653930
2019.03.18;16:00;1.653540
2019.03.18;20:00;1.656540
2019.03.19;08:00;1.653490
2019.03.19;12:00;1.654550
2019.03.19;16:00;1.655740
2019.03.19;20:00;1.660440
2019.03.20;08:00;1.657140
2019.03.20;12:00;1.657960
2019.03.20;16:00;1.658510
2019.03.20;20:00;1.649840
2019.03.21;08:00;1.651280
2019.03.21;12:00;1.652500
2019.03.21;16:00;1.653030
2019.03.21;20:00;1.651680
2019.03.22;08:00;1.644460
2019.03.22;12:00;1.640950
2019.03.24;20:00;1.641650
2019.03.25;08:00;1.641090
2019.03.25;12:00;1.636970
2019.03.25;16:00;1.636530
2019.03.25;20:00;1.636080
2019.03.26;08:00;1.635130
2019.03.26;12:00;1.632510
2019.03.26;16:00;1.630940
2019.03.26;20:00;1.628930
2019.03.27;08:00;1.657980
2019.03.27;12:00;1.656080
2019.03.27;16:00;1.654540
2019.03.27;20:00;1.656130
2019.03.28;08:00;1.649490
2019.03.28;12:00;1.654360
2019.03.28;16:00;1.655240
2019.03.28;20:00;1.655380
2019.03.29;08:00;1.650570
2019.03.29;12:00;1.648700
2019.03.31;20:00;1.644690
