20190227;200000;1.663320;1.662970
20190228;80000;1.668380;1.668940
20190228;120000;1.671490;1.671090
20190228;160000;1.670180;1.670000
20190228;200000;1.669060;1.669130
20190301;80000;1.664040;1.664140
20190301;120000;1.671430;1.671560
20190301;160000;1.671940;1.672230
20190303;200000;1.669490;1.669580
20190304;80000;1.666520;1.666080
20190304;120000;1.664370;1.664150
20190304;160000;1.662170;1.662120
20190304;200000;1.663280;1.662870
20190305;80000;1.666790;1.667030
20190305;120000;1.664790;1.664570
20190305;160000;1.662440;1.662380
20190305;200000;1.665350;1.664760
20190306;80000;1.667400;1.667580
20190306;120000;1.670930;1.670700
20190306;160000;1.671380;1.671290
20190306;200000;1.668780;1.668850
20190307;80000;1.663330;1.662710
20190307;120000;1.656140;1.655830
20190307;160000;1.656960;1.657450
20190307;200000;1.656160;1.655940
20190308;80000;1.652680;1.652800
20190308;120000;1.651610;1.651330
20190308;160000;1.650350;1.650370
20190310;200000;1.652490;1.652580
20190311;80000;1.648930;1.649050
20190311;120000;1.645240;1.645290
20190311;160000;1.645680;1.645500
20190311;200000;1.648140;1.648130
20190312;80000;1.643540;1.643430
20190312;120000;1.644140;1.644240
20190312;160000;1.644850;1.644610
20190312;200000;1.646700;1.646630
20190313;80000;1.652810;1.652380
20190313;120000;1.650800;1.650430
20190313;160000;1.651740;1.651560
20190313;200000;1.653430;1.653550
20190314;80000;1.658160;1.657960
20190314;120000;1.657410;1.657430
20190314;200000;1.652770;1.652150
20190315;80000;1.652680;1.652360
20190315;120000;1.653290;1.653360
20190317;160000;1.652490;1.652900
20190317;200000;1.653760;1.653720
20190318;80000;1.653130;1.653510
20190318;120000;1.653930;1.654120
20190318;160000;1.653540;1.653340
20190318;200000;1.656540;1.656760
20190319;80000;1.653490;1.653310
20190319;120000;1.654550;1.654460
20190319;160000;1.655740;1.655660
20190319;200000;1.660440;1.660340
20190320;80000;1.657140;1.657170
20190320;120000;1.657960;1.658010
20190320;160000;1.658510;1.657430
20190320;200000;1.649840;1.649640
20190321;80000;1.651280;1.651470
20190321;120000;1.652500;1.652350
20190321;160000;1.653030;1.652940
20190321;200000;1.651680;1.651350
20190322;80000;1.644460;1.644340
20190322;120000;1.640950;1.640780
20190324;200000;1.641650;1.641640
20190325;80000;1.641090;1.640900
20190325;120000;1.636970;1.637150
20190325;160000;1.636530;1.636340
20190325;200000;1.636080;1.636050
20190326;80000;1.635130;1.635240
20190326;120000;1.632510;1.632430
20190326;160000;1.630940;1.630430
20190326;200000;1.628930;1.647330
20190327;80000;1.657980;1.658030
20190327;120000;1.656080;1.656370
20190327;160000;1.654540;1.653940
20190327;200000;1.656130;1.656330
20190328;80000;1.649490;1.649620
20190328;120000;1.654360;1.654430
20190328;160000;1.655240;1.654760
20190328;200000;1.655380;1.655370
20190329;80000;1.650570;1.650780
20190329;120000;1.648700;1.648740
20190331;200000;1.644690;1.644650
